471,15,41,26,151,0,0,0,0,0,0,0,33,0,22,4,7,18,2,20,13,0,0,0,53,70,11,43
294,54,140,37,123,0,0,0,0,0,0,0,26,0,30,11,4,25,7,12,18,0,0,0,42,78,28,71
296,33,157,56,299,0,0,0,0,0,0,0,23,0,14,1,3,13,0,10,2,0,0,0,14,26,10,43
24,8,17,12,42,0,0,0,0,0,0,0,5,0,4,1,0,1,0,2,0,0,0,0,5,4,2,13
244,19,49,78,469,0,0,0,0,0,0,0,18,0,16,3,2,6,1,8,4,0,0,0,17,16,1,49
136,1,41,39,676,0,0,0,0,0,0,0,29,0,4,0,0,8,6,2,1,0,0,0,4,8,3,42
109,2,5,6,755,0,0,0,0,0,0,0,33,0,21,1,1,1,5,1,1,0,0,0,5,9,1,44
101,13,5,23,520,1,0,0,0,0,0,0,170,0,33,5,0,9,9,6,8,0,0,0,7,12,15,63
150,3,1,3,474,0,0,0,0,0,0,0,238,0,28,1,1,9,3,22,2,0,0,0,4,4,4,53
113,0,1,1,245,0,0,0,0,0,0,0,524,0,51,3,3,12,4,3,5,0,0,0,6,4,4,21
61,1,0,0,115,0,0,0,0,0,0,0,650,0,89,24,1,9,7,11,2,0,0,0,8,7,0,15
60,0,2,2,63,0,0,0,0,0,0,0,567,0,183,29,13,23,10,20,1,0,0,0,12,5,0,10
37,0,1,1,50,0,0,0,0,0,0,0,539,0,276,22,16,18,3,13,4,0,0,0,7,1,1,11
27,0,0,1,11,0,0,0,0,0,0,0,431,0,347,53,38,31,18,17,2,0,0,0,8,5,0,11
22,0,0,0,11,0,0,0,0,0,0,0,185,0,455,106,57,61,19,47,9,0,0,0,14,5,1,8
26,1,0,0,10,0,0,0,0,0,0,0,84,0,369,193,82,74,36,67,22,0,0,0,15,12,0,9
17,0,0,0,5,0,0,0,0,0,0,0,38,0,230,111,160,144,115,120,38,0,0,0,17,1,1,3
15,0,0,1,3,0,0,0,0,0,0,0,26,0,137,78,108,251,120,175,46,0,0,0,17,10,0,13
18,0,0,0,5,0,0,0,0,0,0,0,12,0,104,38,71,133,128,358,107,0,0,0,16,6,1,3
21,0,0,0,1,0,0,0,0,0,0,0,7,0,51,11,34,60,73,435,258,0,0,0,31,14,0,4
6,0,0,2,3,0,0,0,0,0,0,0,8,0,19,6,15,38,26,297,499,0,0,0,54,18,1,8
16,1,0,0,16,0,0,0,0,0,0,0,7,0,17,4,6,25,37,144,438,0,0,0,215,44,11,19
27,1,1,0,5,0,0,0,0,0,0,0,3,0,11,3,2,41,5,86,229,0,0,0,302,241,27,16
36,2,0,0,5,0,0,0,0,0,0,0,1,0,9,1,2,15,6,61,205,0,0,0,425,192,26,14
57,5,4,0,6,0,0,0,0,0,0,0,3,0,3,1,5,9,5,31,74,0,0,0,497,229,21,50
122,1,6,2,27,0,0,0,0,0,0,0,2,0,11,2,1,19,3,43,53,0,0,0,246,379,23,60
218,3,17,5,34,0,0,0,0,0,0,0,3,0,14,3,2,25,2,26,18,0,0,0,138,256,25,71
319,5,27,13,38,0,0,0,0,0,0,0,4,0,21,3,3,26,0,39,22,0,0,0,134,226,17,103
