140,114,48,78,25,52,67,0,30,55,22,8,7,12,12,6,5,10,14,15,19,0,40,37,27,25,62,70
4,26,21,25,7,3,8,0,4,4,2,3,1,0,2,1,1,0,0,1,0,0,3,2,7,5,9,11
33,113,155,112,33,83,75,4,15,40,10,7,4,1,5,2,4,2,3,8,3,0,16,9,12,18,56,27
32,62,81,189,117,140,127,0,45,15,6,6,9,1,6,3,2,4,7,11,13,0,14,11,5,56,23,15
40,37,51,177,154,164,156,2,48,44,11,7,7,1,5,2,2,4,7,2,11,0,9,7,7,13,14,18
49,29,23,85,94,228,281,1,75,52,14,7,6,1,9,2,1,5,5,4,2,0,2,5,5,3,7,5
27,9,7,28,28,124,512,3,125,43,20,6,8,2,22,4,0,0,2,7,3,0,2,1,1,6,7,3
34,4,12,10,9,29,274,28,416,57,34,18,6,14,8,5,2,7,7,2,2,0,3,1,4,2,6,6
5,5,1,5,5,10,114,2,407,196,113,25,19,21,12,5,1,22,11,10,2,0,3,1,0,2,1,2
5,8,3,1,4,24,37,1,273,183,265,78,31,23,14,7,3,13,3,5,2,0,2,3,1,1,2,8
4,2,2,2,4,9,23,2,81,134,315,158,108,52,23,21,7,11,7,9,5,0,1,5,3,4,2,6
7,2,3,2,1,10,10,1,54,76,183,178,195,86,62,30,30,13,9,16,6,0,6,7,1,3,5,4
6,6,3,3,0,11,9,0,24,34,131,124,274,100,149,41,16,11,26,7,8,0,4,3,2,1,4,3
4,0,2,2,0,2,17,0,15,31,50,58,155,333,154,65,30,29,22,13,4,0,6,4,1,0,3,0
3,2,1,2,1,5,3,0,6,14,18,35,106,117,290,125,77,67,52,32,14,0,13,6,4,3,4,0
6,3,0,0,0,2,5,1,7,14,8,22,39,95,207,173,114,89,91,52,32,0,17,7,4,7,1,4
2,1,0,0,2,0,0,0,8,4,4,6,25,36,97,89,223,169,180,64,38,1,31,4,3,3,8,2
1,3,0,0,1,0,2,0,6,3,7,6,10,18,50,56,109,272,219,105,85,1,18,5,5,8,9,1
1,2,1,2,0,1,2,0,1,5,6,2,4,12,29,21,62,137,308,193,162,0,30,4,5,3,4,3
2,0,1,0,0,2,1,0,3,6,3,1,4,3,7,7,36,49,181,251,352,0,61,18,4,2,4,2
3,0,1,0,1,3,5,0,0,1,1,2,2,11,2,5,8,11,47,191,542,0,124,27,5,4,3,1
5,2,5,3,2,10,3,0,6,4,3,3,3,2,5,4,2,10,30,38,410,4,334,52,19,21,10,10
8,5,1,2,2,1,2,2,1,1,4,0,3,7,6,3,0,1,7,56,178,2,442,144,67,32,15,8
7,5,3,2,0,1,3,0,3,4,0,0,1,0,3,2,4,6,11,38,106,0,244,242,177,72,53,13
18,14,9,1,0,11,5,1,1,4,3,0,0,1,3,0,2,2,11,25,44,1,144,115,342,109,87,47
25,28,6,8,3,11,10,1,5,8,3,1,1,3,4,5,0,0,7,10,57,0,128,129,180,152,148,67
35,61,21,7,10,11,12,0,6,5,0,2,7,1,6,3,2,2,7,16,36,0,99,90,113,99,245,104
66,59,28,28,3,9,12,0,7,11,0,0,3,0,3,3,4,1,7,19,30,0,93,65,104,87,219,139
