41,293,79,34,7,1,7,3,3,5,11,1,8,5,0,7,17,36,23,0,3,24,392
2,501,243,37,20,2,5,8,6,8,21,2,14,6,6,5,14,19,15,0,1,2,63
1,518,337,24,10,1,3,1,1,4,21,1,14,3,6,2,11,13,4,1,0,2,22
0,350,462,52,31,0,3,1,2,6,24,0,22,2,15,2,7,8,0,0,0,0,13
0,289,294,61,249,3,1,2,1,4,35,0,20,4,10,2,6,6,2,0,0,0,11
3,199,184,51,187,17,91,42,21,25,76,2,27,16,8,7,10,11,6,1,0,2,14
0,267,161,14,65,3,54,20,66,62,141,9,77,10,9,8,14,8,2,1,0,6,3
0,176,78,9,20,3,31,40,78,107,290,11,74,15,16,11,22,8,4,0,0,0,7
0,109,46,7,12,2,2,8,46,95,450,8,120,22,17,10,20,8,5,1,0,2,10
0,92,21,6,4,0,6,6,10,101,462,9,112,50,43,17,18,17,11,0,0,4,11
2,63,31,7,3,1,6,9,23,46,428,8,196,50,45,21,38,15,2,0,1,1,4
0,31,5,0,1,2,2,2,5,21,299,87,240,86,123,35,24,19,8,1,0,2,7
1,27,9,1,0,0,0,0,3,10,235,5,268,120,139,55,62,36,15,0,1,1,12
0,38,8,1,1,3,2,2,4,8,107,8,157,205,199,83,100,51,16,0,0,2,5
0,15,0,2,3,5,0,0,0,6,43,7,109,94,269,112,207,79,32,0,0,5,12
1,15,2,1,1,3,1,1,2,1,30,5,53,59,190,257,215,118,24,0,2,3,16
1,19,4,4,2,0,0,3,0,0,24,2,35,42,111,95,352,202,81,1,2,3,17
0,26,5,3,0,1,1,0,3,1,7,0,22,20,62,41,266,331,185,1,1,2,22
1,24,3,1,2,0,1,4,0,0,7,1,10,3,21,28,107,306,437,0,1,11,32
0,39,12,4,3,6,1,6,8,2,13,0,5,6,5,11,73,253,295,1,11,41,205
1,52,3,1,5,1,14,3,1,1,7,1,7,0,9,12,32,163,184,0,47,126,330
0,71,5,6,1,1,0,1,1,1,4,1,1,3,8,15,59,92,130,0,3,89,508
2,93,30,1,1,3,0,1,4,2,6,0,6,3,14,19,34,67,48,0,1,30,635
