671,50,39,17,1,48,2,6,3,2,1,1,3,1,0,4,7,2,15,0,79,46,2
381,166,117,51,4,137,1,4,4,0,12,1,0,1,3,1,4,0,24,0,89,0,0
268,151,48,38,13,294,2,4,8,0,12,0,5,0,0,0,3,0,16,0,137,1,0
227,72,60,60,4,394,3,2,6,1,21,1,4,1,1,1,0,1,24,0,117,0,0
121,32,29,44,2,584,7,8,15,0,34,0,3,0,0,0,3,0,12,0,106,0,0
92,3,5,10,7,616,28,93,47,1,19,10,7,3,0,3,7,0,12,0,37,0,0
51,0,0,2,0,439,55,125,100,1,40,6,17,0,2,2,7,0,20,0,133,0,0
51,1,0,1,1,252,44,185,159,1,121,4,11,0,0,5,11,0,10,0,143,0,0
41,1,0,0,0,197,9,52,235,9,172,33,50,2,4,2,12,0,23,0,158,0,0
56,0,1,1,0,108,6,28,187,6,229,66,98,8,13,6,16,0,34,0,137,0,0
79,2,0,1,0,68,1,17,107,2,308,87,96,18,15,6,47,0,33,0,113,0,0
37,0,0,0,0,70,3,82,46,2,204,135,111,20,18,69,40,0,58,0,105,0,0
118,0,0,0,0,36,1,12,26,1,163,59,168,39,35,65,86,1,65,0,125,0,0
92,0,0,0,0,29,2,10,6,0,111,53,191,49,45,87,134,1,59,0,131,0,0
92,0,0,0,0,6,2,0,5,2,37,11,85,31,60,119,263,0,104,0,183,0,0
88,0,0,0,0,9,2,4,1,0,28,7,64,20,30,134,324,4,116,0,168,1,0
78,0,0,0,0,10,0,0,0,0,14,1,16,12,13,61,257,7,206,0,324,1,0
72,0,0,0,0,7,0,0,0,0,12,0,7,7,7,18,162,9,290,0,409,0,0
50,0,0,0,0,10,0,1,1,0,4,0,1,3,3,14,74,16,408,0,414,1,0
116,0,2,8,0,13,1,7,5,0,3,1,5,1,0,11,15,24,152,0,609,27,0
106,2,0,0,0,6,0,0,1,0,3,0,3,0,0,0,3,2,153,0,684,34,3
223,1,0,0,0,6,1,0,0,0,0,0,3,0,0,2,11,3,50,0,625,66,9
424,1,2,0,0,20,0,1,0,0,2,0,1,0,0,3,2,0,33,0,390,101,20
