602,22,74,17,4,22,1,1,4,3,3,1,1,1,1,4,2,1,1,152,37,22,24
282,90,207,50,46,102,6,0,1,4,5,1,8,4,15,1,1,2,2,159,9,4,1
171,78,97,87,18,276,2,1,4,2,8,2,22,4,7,0,1,0,0,210,6,2,2
172,44,95,69,45,352,0,2,6,3,6,1,18,0,0,1,0,1,1,182,1,1,0
72,17,36,87,87,530,2,3,5,5,7,2,10,0,0,3,0,0,1,130,2,1,0
54,2,13,13,28,648,47,28,18,28,2,6,14,1,2,2,2,0,0,90,2,0,0
18,0,2,1,8,581,36,54,61,23,4,8,29,6,1,2,1,1,0,164,0,0,0
20,1,3,3,1,319,37,129,129,91,11,7,56,2,2,4,1,0,1,181,1,1,0
18,0,2,5,2,132,7,65,161,248,40,14,110,7,7,6,1,0,4,169,2,0,0
12,0,1,0,3,89,5,54,82,214,84,60,151,12,43,7,2,2,5,168,3,3,0
9,0,0,1,0,56,1,39,46,215,124,56,246,14,15,4,1,1,6,166,0,0,0
7,0,0,0,2,37,2,83,17,93,81,147,279,25,36,16,2,6,4,161,2,0,0
4,0,0,0,0,10,8,7,17,87,53,75,310,63,60,54,8,2,12,229,1,0,0
11,1,0,0,3,16,0,3,2,57,35,64,247,118,102,68,5,3,9,253,3,0,0
5,0,0,0,0,7,0,4,1,14,10,27,176,71,184,129,11,10,14,334,3,0,0
4,0,0,0,0,6,1,6,2,11,6,21,80,46,149,231,22,30,55,324,5,1,0
1,0,0,0,0,10,0,0,1,5,1,11,62,23,98,148,23,35,50,528,4,0,0
2,0,0,0,0,4,0,0,0,1,4,3,21,8,33,85,30,63,95,646,5,0,0
10,0,0,0,1,2,0,0,0,4,0,2,9,1,15,19,15,34,182,693,11,2,0
37,2,10,0,0,7,2,3,2,3,2,2,5,0,3,12,4,14,25,787,72,5,3
54,1,1,1,0,2,0,0,1,1,1,5,2,1,0,3,1,3,78,566,264,11,4
102,2,0,0,1,5,0,0,0,0,0,0,6,1,1,2,4,1,27,537,201,62,48
308,3,2,0,1,10,0,0,0,1,1,0,2,1,2,2,0,1,15,473,86,49,43
